date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:54:41	109932/109932	---MCZ	200	added ('OK')	text/html	etag:W/%2263861da0-1ad6c%22	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/html/ltr/vertical-menu-template/dashboard-analytics.html	C:/My%20Web%20Sites/vuexy/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/html/ltr/vertical-menu-template/dashboard-analytics.html	(from )
16:54:42	33/33	---M--	200	added ('OK')	text/plain	etag:%22625d040e-21%22	https://pixinvent.com/robots.txt		(from )
16:54:42	153/153	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Jan%202023%2009:54:42%20GMT	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/app-assets/images/ico/apple-icon-120.png	C:/My%20Web%20Sites/vuexy/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/app-assets/images/ico/apple-icon-120.png	(from https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/html/ltr/vertical-menu-template/dashboard-analytics.html)
16:54:42	51479/51479	---M--	200	added ('OK')	text/css	etag:%2263861b60-c917%22	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/app-assets/vendors/css/vendors.min.css	C:/My%20Web%20Sites/vuexy/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/app-assets/vendors/css/vendors.min.css	(from https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/html/ltr/vertical-menu-template/dashboard-analytics.html)
16:54:42	13581/13581	---M--	200	added ('OK')	text/css	etag:%226386182e-350d%22	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/app-assets/vendors/css/charts/apexcharts.css	C:/My%20Web%20Sites/vuexy/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/app-assets/vendors/css/charts/apexcharts.css	(from https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/html/ltr/vertical-menu-template/dashboard-analytics.html)
16:54:43	6769/6769	---M--	200	added ('OK')	text/css	etag:%226386182e-1a71%22	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/app-assets/vendors/css/extensions/toastr.min.css	C:/My%20Web%20Sites/vuexy/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/app-assets/vendors/css/extensions/toastr.min.css	(from https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/html/ltr/vertical-menu-template/dashboard-analytics.html)
16:54:43	5702/5702	---M--	200	added ('OK')	text/css	etag:%226386182e-1646%22	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/app-assets/vendors/css/tables/datatable/dataTables.bootstrap5.min.css	C:/My%20Web%20Sites/vuexy/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/app-assets/vendors/css/tables/datatable/dataTables.bootstrap5.min.css	(from https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/html/ltr/vertical-menu-template/dashboard-analytics.html)
16:54:43	4315/4315	---M--	200	added ('OK')	text/css	etag:%226386182e-10db%22	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/app-assets/vendors/css/tables/datatable/responsive.bootstrap5.min.css	C:/My%20Web%20Sites/vuexy/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/app-assets/vendors/css/tables/datatable/responsive.bootstrap5.min.css	(from https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/html/ltr/vertical-menu-template/dashboard-analytics.html)
16:54:44	222283/222283	---M--	200	added ('OK')	text/css	etag:%2263861ba2-3644b%22	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/app-assets/css/bootstrap.css	C:/My%20Web%20Sites/vuexy/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/app-assets/css/bootstrap.css	(from https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/html/ltr/vertical-menu-template/dashboard-analytics.html)
16:54:44	75557/75557	---M--	200	added ('OK')	text/css	etag:%2263861ba6-12725%22	https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/app-assets/css/bootstrap-extended.css	C:/My%20Web%20Sites/vuexy/pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/app-assets/css/bootstrap-extended.css	(from https://pixinvent.com/demo/vuexy-html-bootstrap-admin-template/bs5-old/html/ltr/vertical-menu-template/dashboard-analytics.html)
